Land.Use.and.Land.Cover.Change	Anthropogenic.biomes.of.the.world	Clinical.Antibiotic.Usage	Pesticide	Energy.Extraction.and.Production	Agricultural.Crops	Forage.Crops	Mining.and.sewage.treatment	Hydraulic.Engineering	Veterinary.Antibiotics	Global.coal.mining.industry	GDP	PM2.5	HH.ARG
-3.83641687231043e-02	-1.04363491110752e-02	 2.29441689894908e-02	-1.02817416867370e-02	-5.11984472155110e-03	 1.54788655277835e-02	-4.75864654406532e-04	 3.26204517811461e-03	 1.75162209275226e-03	 7.10584005081371e-03	-5.30379538952569e-03	-2.59890832059274e-03	-1.40365561234343e-03	4.937716655e+05
-3.83638420459539e-02	-1.04389011352021e-02	 2.29470148581075e-02	-1.02841529890067e-02	-5.11811989059291e-03	 1.54769599517970e-02	-4.74702965847564e-04	 3.25715586626037e-03	 1.76176778286087e-03	 7.08376378049853e-03	-5.29832017837892e-03	-2.58876793894006e-03	-1.40081027412169e-03	4.943356686e+05
-3.83508494085614e-02	-1.05404005026060e-02	 2.30602010389383e-02	-1.03800555521593e-02	-5.04951973541011e-03	 1.54011711866605e-02	-4.28500168384213e-04	 3.06269764973475e-03	 2.16528321872471e-03	 6.20574407527130e-03	-5.08055951462178e-03	-2.18546363153448e-03	-1.28764518821819e-03	5.167672582e+05
 1.75383531321919e-02	 1.10199072089069e-02	 1.16993790932221e-02	-4.64554011437093e-03	-1.11547791897865e-02	-3.37645213606015e-02	-1.06861202783268e-02	 1.88540742603743e-02	 3.31290011898365e-02	-1.72734492996585e-03	 1.50448150074506e-04	 2.79030766038673e-02	 1.58403821453738e-02	9.737615391e+05
 1.77687869050241e-02	 9.21974289551447e-03	 1.37068174518280e-02	-6.34644107726249e-03	-9.93810607731489e-03	-3.51086896430676e-02	-9.86668042072213e-03	 1.54052178705384e-02	 4.02856377889020e-02	-1.72996561692603e-02	 4.01259020852095e-03	 3.50559686878128e-02	 1.78474463702667e-02	1.371601921e+06
 1.77414485143918e-02	 9.43331226339384e-03	 1.34686573360461e-02	-6.14464819604183e-03	-1.00824507383068e-02	-3.49492191056983e-02	-9.96389779754814e-03	 1.58143861190167e-02	 3.94365828758404e-02	-1.54521755570442e-02	 3.55439023647064e-03	 3.42073580196021e-02	 1.76093306412664e-02	1.324402608e+06
 1.76343660968152e-02	 1.02698473959987e-02	 1.25358020955448e-02	-5.35424067493144e-03	-1.06478379065259e-02	-3.43245850186595e-02	-1.03446909422867e-02	 1.74170673386929e-02	 3.61108987136426e-02	-8.21573311086821e-03	 1.75965544756019e-03	 3.08834139310350e-02	 1.66766492604471e-02	1.139526453e+06
 1.73288828754070e-02	 1.26563031084583e-02	 9.87456572802815e-03	-3.09937716662695e-03	-1.22607665030173e-02	-3.25426376417818e-02	-1.14310122934263e-02	 2.19891738801599e-02	 2.66234335046184e-02	 1.24282885691196e-02	-3.36033882692971e-03	 2.14009127796983e-02	 1.40159088773969e-02	6.121143468e+05
 5.56603875704930e-03	-2.01031224795094e-02	-4.05323391490581e-02	 1.10660448914106e-04	-2.60897780877600e-03	 3.11587186425903e-03	 1.53098226169802e-03	 2.62234922936162e-02	 5.26818081739363e-03	-4.97838794735759e-03	-8.19195738092107e-03	-1.37765428733261e-02	-1.06999152005113e-02	4.814342164e+05
 5.56886375214797e-03	-2.01251915334489e-02	-4.05077290259228e-02	 8.98083106861479e-05	-2.59406204561694e-03	 3.09939307834550e-03	 1.54102815711054e-03	 2.61812111545386e-02	 5.35591736341644e-03	-5.16929617398268e-03	-8.14460958006980e-03	-1.36888522330606e-02	-1.06753096640557e-02	4.863115272e+05
 5.55625650612439e-03	-2.00267028696439e-02	-4.06175578455139e-02	 1.82866184266665e-04	-2.66062736315122e-03	 3.17293377520537e-03	 1.49619584039168e-03	 2.63699012951903e-02	 4.96437111914514e-03	-4.31732054325617e-03	-8.35591096402222e-03	-1.40801936114271e-02	-1.07851180144435e-02	4.645453099e+05
 5.56578482951587e-03	-2.01011387803395e-02	-4.05345512547953e-02	 1.12534764387992e-04	-2.61031852719002e-03	 3.11735307654964e-03	 1.53007927625764e-03	 2.62272927764425e-02	 5.26029452947254e-03	-4.96122796887746e-03	-8.19621328575062e-03	-1.37844250349619e-02	-1.07021268939702e-02	4.809958144e+05
 4.01293960553656e-02	 4.35812943399191e-02	-1.68541781267617e-02	-3.57069575785531e-02	-3.18911023940018e-02	 1.44930080570206e-01	-3.60872628874265e-02	-1.17071422325893e-02	-1.66998206238002e-02	 5.04233285055339e-04	 3.20484941364188e-02	-2.88095554754377e-03	 1.35317085336573e-02	6.054651330e+05
 4.01480506635425e-02	 4.34355632714756e-02	-1.66916673300207e-02	-3.58446528504762e-02	-3.17926074558965e-02	 1.44821264347979e-01	-3.60209256952682e-02	-1.19863420383291e-02	-1.61204600119468e-02	-7.56412500528825e-04	 3.23611512002606e-02	-2.30189807034600e-03	 1.36941890426600e-02	6.376720285e+05
-3.84086631158149e-02	-1.00946319081877e-02	 2.30297301713984e-02	-1.02896211597037e-02	-5.40166301205862e-03	 1.55949175448540e-02	-6.55381110231012e-04	 3.66183775710026e-03	 2.91132152861394e-03	 5.83982792545162e-03	-5.30101370185616e-03	-2.72639133603833e-03	-1.55162482532772e-03	5.184389154e+05
-3.84016559309621e-02	-1.01493725130658e-02	 2.30907737045848e-02	-1.03413432979850e-02	-5.36466559931129e-03	 1.55540431733910e-02	-6.30463032957303e-04	 3.55696261680739e-03	 3.12894533851337e-03	 5.36629463171454e-03	-5.18357109351670e-03	-2.50888139186835e-03	-1.49059266905042e-03	5.305367128e+05
 6.06030685895212e-02	 5.46594518637812e-02	 1.74827376675683e-02	-1.49668226480468e-02	 5.01382021390306e-02	 1.28450227698883e-01	-5.97685649819599e-02	 4.59616371665467e-03	 1.17480688331342e-02	 8.15220409718839e-02	-4.59555354363633e-02	 5.51277404317824e-03	 2.10520189741014e-03	5.027663646e+05
 6.05958079610084e-02	 5.47161723877773e-02	 1.74194862439382e-02	-1.49132297659066e-02	 5.00998665626846e-02	 1.28492580460102e-01	-5.97943843239838e-02	 4.70483209773717e-03	 1.15225737630848e-02	 8.20127015447839e-02	-4.60772258396631e-02	 5.28739695728073e-03	 2.04196226218193e-03	4.902310006e+05
 6.06100160600884e-02	 5.46051777509649e-02	 1.75432609959867e-02	-1.50181040172322e-02	 5.01748842648096e-02	 1.28409701653308e-01	-5.97438592531845e-02	 4.49218230818181e-03	 1.19638380822372e-02	 8.10525430650962e-02	-4.58390936581139e-02	 5.72843039690027e-03	 2.16571394587203e-03	5.147610662e+05
 6.05967165308933e-02	 5.47090745780131e-02	 1.74274013078448e-02	-1.49199361934102e-02	 5.01046637438271e-02	 1.28487280582369e-01	-5.97911533810197e-02	 4.69123371320249e-03	 1.15507914345239e-02	 8.19513019814534e-02	-4.60619979244060e-02	 5.31559986459204e-03	 2.04987585092871e-03	4.917996326e+05
 6.06086887716929e-02	 5.46155466182265e-02	 1.75316982393421e-02	-1.50083069025032e-02	 5.01678762811994e-02	 1.28417444003490e-01	-5.97485791907197e-02	 4.51204756928299e-03	 1.19226161702245e-02	 8.11422388928576e-02	-4.58613394264871e-02	 5.68723005312988e-03	 2.15415334422107e-03	5.124695231e+05
 1.41945087107294e-03	-1.27192680393757e-02	-3.25114231004939e-02	 1.30929103270367e-03	-4.19695983097683e-03	-1.86737404100713e-03	-1.05366730083056e-03	 2.03858190637770e-02	 1.79801739792672e-02	-2.93867038221538e-02	-4.81718709168440e-03	-3.65249082680877e-03	-8.43695896024805e-03	1.093507950e+06
 1.28239034072634e-02	-8.10469752855905e-03	-3.44470298823024e-02	-5.22506041568505e-03	-1.43038409923069e-02	 1.00753481384653e-02	 5.65379038418304e-03	 3.42169577244129e-02	 1.58369337358728e-02	-1.49385301977993e-02	 4.03937785072160e-03	 7.41813699726135e-03	-1.41126748831978e-02	6.706860272e+05
 1.18164707362336e-03	-1.08615285921750e-02	-3.45830658937995e-02	 3.06459236327517e-03	-5.45254612305668e-03	-4.80214867016264e-04	-1.89931552124872e-03	 2.39449811444059e-02	 1.05946447692650e-02	-1.33163392126008e-02	-8.80285306633494e-03	-1.10341557598683e-02	-1.05082156538228e-02	6.829433334e+05
 1.26109525734249e-03	-1.14821832094956e-02	-3.38909480260105e-02	 2.47816143118197e-03	-5.03306564596498e-03	-9.43652701419464e-04	-1.61679179413384e-03	 2.27558959998431e-02	 1.30620859448568e-02	-1.86853084789714e-02	-7.47127667439686e-03	-8.56800560564696e-03	-9.81622677860109e-03	8.201094066e+05
 5.56746831718836e-03	-2.01142903005911e-02	-4.05198854456630e-02	 1.00108435695111e-04	-2.60142983799693e-03	 3.10753294165592e-03	 1.53606588525886e-03	 2.62020963516949e-02	 5.31257900732026e-03	-5.07499512063349e-03	-8.16799750615856e-03	-1.37321679135427e-02	-1.06874638181590e-02	4.839023301e+05
-1.24047978400775e-02	 4.88998309623504e-02	-1.61430532576545e-02	 3.77705590530302e-02	 5.77216202189101e-02	 3.26024571586109e-03	-2.95034038090691e-03	-3.16182676209474e-03	-2.19443313510106e-02	-2.30097758520716e-02	-9.73778751546289e-03	-3.69509860032594e-03	-1.06205565766041e-02	5.508073381e+05
-1.19218010720200e-02	 4.87479557908140e-02	-1.64857424925775e-02	 3.78834284731261e-02	 5.83992303853611e-02	 3.40857203500022e-03	-3.06498541016271e-03	-3.40459713400268e-03	-2.15488942685939e-02	-2.48647245467265e-02	-1.00915278644806e-02	-2.59332754682021e-03	-1.04585585794016e-02	5.842442441e+05
-1.40360691579383e-02	 4.96339807085995e-02	-1.20978000085916e-02	 3.69031548035166e-02	 5.91706725073054e-02	 2.26178338373648e-03	-3.16341793751720e-03	-7.66670146915317e-03	-1.80027374916323e-02	-3.59200498674555e-02	-7.22102268117511e-03	 2.77825949290346e-03	-8.20434090466835e-03	8.631490278e+05
-1.45637773493953e-02	 5.12472247488141e-02	-1.26726914287150e-02	 3.80583060717523e-02	 5.88003017124039e-02	 3.17047714146605e-03	-3.92751991178978e-03	-6.18119898839724e-03	-2.26341348264929e-02	-2.73872060395300e-02	-9.79992926967592e-03	-8.82877319687230e-04	-9.12368052010868e-03	6.357689225e+05
