tax	ADAL1	ADAL3	ADALmet1	ADALmet2	ADUP1	ADUP3	ADUPmet1	ADUPmet2	KUAL1	KUAL2	KUAL3	KUALmet1	KUALmet2	KUALmet3	KUUP1	KUUP2	KUUP3	KUUPmet2
2b85e0dfbabd3067e6ec104266194276	0	0	0	0	0	0	0	0	0	3	0	0	0	0	30	47	30	37
905c7b79b0c97947f175fdc5f25b858e	46	30	34	40	0	0	0	0	0	5	0	8	7	0	0	0	0	0
da64dffb490867412a278756306146f9	0	0	0	0	0	0	0	0	0	0	0	0	12	0	17	18	0	0
33f2e9e05ffcb296672630e13fa87dc0	0	0	11	0	0	0	0	0	36	32	32	25	22	0	15	33	0	25
84be87561f0c72622bba40f0ccab47ff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fc396e8d6e005838b6489d51ffd01e41	0	28	36	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cc48593f3d9be821de2bdf84ca370e9a	49	19	33	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24cb56a451a3b9d471f228ed8f51b567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	78	58	58
f184ece4e0331726e021d6450bdfaae8	27	19	7	0	11	0	0	0	0	6	17	0	6	0	13	0	21	0
f8d5b6e94ddc29d4bb50876a86428daa	64	37	27	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dc9662c9e39b24217ca2b6af0376a76b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	103	104	96
882c6d469ac32e19daf640511d3adc28	58	15	35	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9ea529e364729230c3b728eba5e05155	73	33	31	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fd791857d150e7f77bd2d77aded5721e	0	0	0	0	0	0	0	0	65	48	35	55	58	0	16	0	29	0
c1023604552362283d00cd453debad9d	0	0	9	33	0	15	23	22	14	0	0	7	0	12	0	24	0	14
3d920c9ab5cc1009f46aefcd6724f32b	0	0	11	0	0	0	0	0	0	25	30	18	25	69	10	0	0	0
d1dca0a4238f76a6d59f3ebaabf6e202	0	0	0	0	0	0	0	0	84	24	33	15	47	0	15	58	25	42
fcb86c343088015aac1c8f5cda30b0af	0	0	9	0	0	0	0	0	0	19	23	24	17	44	12	0	0	0
b1e804c815d92333566b0d847c93e3d9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f31ea048be4c2c331e6cc9ba146ddb0b	0	0	0	0	0	13	0	4	0	0	0	0	0	0	62	70	47	103
ca30c95ff45576fdb0f0fa496684a86e	0	0	3	0	0	0	0	0	89	27	35	32	38	0	12	15	0	0
75ac20dfdcba9fb515abe206e6457d67	0	0	1	0	0	0	0	0	46	45	54	36	28	0	10	0	19	25
f709a269c36367bb87473b691a2be160	56	30	19	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7c9c0ad59a76e5b8f6477b9a87d305e1	60	8	37	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5e47fb0d96250bc7a6f75ea99617f937	0	0	6	0	0	0	0	0	69	23	22	24	22	49	8	16	0	11
e196cbcb5eadc6e33e5435af120ce303	0	22	31	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fcfc5e6660b40ebe813770c74873d3fd	0	0	8	0	0	15	15	0	0	9	10	0	14	0	18	0	0	0
1c182d429952c5d8a7c912b391460372	0	24	29	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33247d6e07431ebd06c59eeeb23971fa	0	0	0	0	6	8	10	14	0	0	11	7	9	16	13	12	22	0
e47f178771a181867870845ec210bc46	0	27	32	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22eb894d9f1990ac8c24c2fab9a3ec33	0	0	6	0	0	11	0	18	0	0	0	0	10	16	0	13	12	0
36e144c30bee04d54cee87c7d0c3dc53	0	0	0	0	0	0	0	0	60	20	17	15	17	0	18	50	58	67
