location	1990-1	2019-1	change absolute number(%)	1990-2	2019-2	EAPC_ASIR
Tonga	0.13 [0.11-0.16]	0.13 [0.11-0.15]	0	11.74 [9.88-13.73]	11.64 [9.76-13.7]	-0.04 [-0.07 to -0.02]
Zambia	13.24 [11.14-15.55]	28.65 [24.12-33.76]	116.389728096677	16.22 [14.31-18.34]	15.91 [13.85-18.1]	-0.07 [-0.1 to -0.04]
Guatemala	15.01 [12.09-18.22]	24.52 [19.91-29.8]	63.3577614923384	14.41 [12.08-16.87]	13.48 [11.18-16.12]	-0.3 [-0.38 to -0.23]
Honduras	11.22 [9.22-13.47]	16.66 [13.72-19.95]	48.4848484848485	17.69 [15.06-20.62]	16.36 [13.72-19.25]	-0.38 [-0.44 to -0.33]
France	22.06 [19.07-25.32]	27.51 [24.07-31.13]	24.7053490480508	3.76 [3.24-4.35]	3.75 [3.21-4.32]	0.37 [0.2 to 0.53]
Norway	2.97 [2.57-3.36]	4.01 [3.51-4.52]	35.016835016835	6.9 [5.89-7.93]	7.08 [6.07-8.13]	0.13 [0.08 to 0.18]
Jamaica	3.49 [2.93-4.11]	3.16 [2.7-3.64]	-9.45558739255014	13.87 [11.88-16.22]	12.64 [10.74-14.69]	-0.39 [-0.47 to -0.31]
Australia	2.45 [2.06-2.83]	3.71 [3.19-4.26]	51.4285714285714	1.51 [1.26-1.76]	1.43 [1.2-1.67]	0.41 [0.18 to 0.65]
Bermuda	0.07 [0.06-0.08]	0.06 [0.05-0.07]	-14.2857142857143	13.14 [11.16-15.17]	11.65 [9.88-13.66]	-0.51 [-0.61 to -0.41]
Finland	3.24 [2.79-3.71]	3.98 [3.47-4.55]	22.8395061728395	6.46 [5.5-7.47]	6.57 [5.61-7.54]	0.08 [0.05 to 0.11]
Uganda	29 [24.33-34.43]	65.47 [54.3-78.19]	125.758620689655	15.61 [13.64-17.63]	15.47 [13.49-17.71]	-0.03 [-0.07 to 0]
Sri Lanka	37.46 [33.12-41.85]	34.98 [30.84-39]	-6.62039508809398	24.99 [22.45-27.61]	16.3 [14.33-18.32]	-1.84 [-1.99 to -1.69]
Ethiopia	93.21 [78.14-110]	179.07 [150.03-212.03]	92.1145799806888	16.52 [14.46-18.71]	16.08 [14.01-18.42]	-0.09 [-0.16 to -0.01]
Cyprus	0.4 [0.34-0.46]	0.66 [0.57-0.75]	65	5.22 [4.45-5.98]	4.95 [4.25-5.74]	-0.41 [-0.48 to -0.33]
Angola	17.24 [14.53-20.46]	47.78 [39.75-57.12]	177.146171693736	15.02 [12.95-17.31]	14.58 [12.61-16.71]	-0.13 [-0.17 to -0.08]
Eritrea	5.06 [4.24-5.99]	10.27 [8.73-12.09]	102.96442687747	16.31 [14.29-18.48]	15.83 [13.93-18]	-0.13 [-0.18 to -0.09]
Fiji	1.06 [0.88-1.26]	1.09 [0.91-1.28]	2.83018867924529	13.04 [11.17-15.15]	12.25 [10.32-14.29]	-0.36 [-0.44 to -0.27]
United Republic of Tanzania	43.18 [36.42-50.85]	90.65 [76.56-105.5]	109.935155164428	15.99 [14.03-18.08]	15.78 [13.76-17.72]	-0.06 [-0.1 to -0.03]
Brunei Darussalam	0.21 [0.17-0.26]	0.3 [0.26-0.35]	42.8571428571429	7.63 [6.34-9.03]	8.08 [6.8-9.45]	0.25 [0.21 to 0.3]
Syrian Arab Republic	14.19 [11.7-17.11]	11.71 [9.93-13.69]	-17.477096546864	9.26 [7.98-10.73]	8.62 [7.32-10.07]	-0.37 [-0.43 to -0.31]
Mauritania	3.86 [3.27-4.53]	7.17 [6.1-8.33]	85.7512953367876	18.33 [16.06-20.81]	18.39 [16.12-20.75]	0.03 [0.01 to 0.05]
Viet Nam	162.24 [139.79-187.08]	162.15 [144.51-180.39]	-0.0554733727810672	22.84 [20.18-25.74]	18.58 [16.43-20.91]	-0.94 [-1.05 to -0.83]
Spain	26.25 [22.73-29.93]	33.45 [29.16-37.95]	27.4285714285714	6.92 [5.94-7.97]	6.81 [5.88-7.77]	-0.05 [-0.07 to -0.04]
Cabo Verde	0.68 [0.58-0.8]	1.02 [0.89-1.17]	50	18.58 [16.24-21.09]	18.87 [16.53-21.41]	0.06 [0.04 to 0.07]
Portugal	6.46 [5.48-7.5]	7.25 [6.18-8.45]	12.2291021671827	6.49 [5.47-7.58]	6.21 [5.18-7.34]	-0.21 [-0.36 to -0.05]
American Samoa	0.06 [0.05-0.08]	0.06 [0.05-0.07]	0	11.11 [9.22-13.19]	11.33 [9.39-13.32]	0.11 [0.03 to 0.19]
Burkina Faso	17.96 [14.95-21.4]	40.35 [33.85-47.93]	124.665924276169	17.83 [15.42-20.36]	17.35 [15.06-19.72]	-0.11 [-0.16 to -0.05]
Pakistan	383.93 [332.47-443.58]	689.58 [598.66-789.1]	79.6108665642174	33.39 [29.76-37.19]	32.23 [28.75-36.08]	-0.11 [-0.23 to 0.01]
United States of America	60.26 [50.26-70.56]	79.38 [71.68-87.14]	31.7291735811484	2.34 [1.94-2.74]	1.89 [1.7-2.08]	-0.59 [-0.76 to -0.43]
Saint Vincent and the Grenadines	0.16 [0.13-0.18]	0.12 [0.1-0.14]	-25	13.04 [11.17-15.08]	11.57 [9.79-13.63]	-0.5 [-0.59 to -0.41]
Estonia	1.42 [1.24-1.63]	1.16 [1.02-1.3]	-18.3098591549296	9.36 [8.1-10.78]	9.13 [7.84-10.52]	-0.11 [-0.15 to -0.07]
