location	1990-1	2019-1	change absolute number(%)	1990-2	2019-2	EAPC_ASIR
South Sudan	9.54 [8.04-11.32]	14.85 [12.6-17.42]	55.6603773584906	16.15 [14.12-18.33]	15.85 [13.87-17.99]	-0.07 [-0.11 to -0.04]
Mozambique	22.99 [19.47-26.92]	48.44 [40.75-57.14]	110.700304480209	16.93 [14.85-19.19]	16.33 [14.35-18.37]	-0.15 [-0.18 to -0.12]
Mauritius	1.19 [1-1.41]	1.4 [1.22-1.58]	17.6470588235294	11.33 [9.6-13.26]	12.37 [10.57-14.28]	0.46 [0.4 to 0.52]
Guinea-Bissau	1.82 [1.52-2.15]	3.27 [2.76-3.86]	79.6703296703297	17.72 [15.42-20.03]	17.66 [15.45-20]	-0.01 [-0.05 to 0.02]
Poland	8.97 [7.12-11]	3.54 [3.1-3.99]	-60.5351170568562	2.69 [2.12-3.3]	0.89 [0.77-1.03]	-4.19 [-5.13 to -3.23]
Eswatini	1.35 [1.09-1.63]	1.73 [1.45-2.05]	28.1481481481481	15.03 [12.76-17.52]	14.89 [12.83-17.2]	-0.02 [-0.07 to 0.03]
Montenegro	0.36 [0.31-0.42]	0.35 [0.3-0.4]	-2.77777777777778	5.92 [5.05-6.9]	5.89 [5.03-6.83]	0 [-0.05 to 0.05]
Equatorial Guinea	0.74 [0.62-0.88]	2.15 [1.78-2.57]	190.540540540541	15.07 [12.97-17.44]	14.64 [12.53-16.84]	-0.12 [-0.19 to -0.05]
Dominican Republic	9.97 [8.3-11.86]	12.49 [10.57-14.66]	25.2758274824473	12.24 [10.42-14.25]	11.68 [9.91-13.74]	-0.21 [-0.3 to -0.11]
Congo	3.99 [3.32-4.72]	7.93 [6.65-9.44]	98.7468671679198	14.81 [12.76-16.89]	14.59 [12.54-16.94]	-0.05 [-0.1 to 0.01]
Egypt	72.05 [60.68-84.48]	100.24 [84.91-118.39]	39.1256072172103	11.14 [9.6-12.79]	9.96 [8.58-11.6]	-0.51 [-0.56 to -0.45]
Liberia	3.64 [3.1-4.25]	8.19 [6.97-9.68]	125	18.05 [15.8-20.41]	17.87 [15.71-20.35]	-0.03 [-0.06 to 0]
Ukraine	67.04 [60.47-74.05]	54.25 [48.84-59.82]	-19.0781622911695	13.12 [11.66-14.74]	12.79 [11.27-14.52]	-0.19 [-0.25 to -0.13]
Bosnia and Herzegovina	2.79 [2.38-3.24]	1.85 [1.6-2.1]	-33.6917562724014	6.41 [5.52-7.35]	5.87 [5-6.81]	-0.42 [-0.49 to -0.34]
Bahrain	0.41 [0.34-0.49]	0.93 [0.79-1.07]	126.829268292683	8.14 [6.88-9.43]	8.19 [6.97-9.62]	0.03 [-0.02 to 0.07]
Malaysia	27.99 [23.88-32.35]	45.24 [39.47-51.1]	61.6291532690247	16.07 [14.07-18.12]	15.58 [13.63-17.56]	-0.15 [-0.2 to -0.1]
Morocco	24.63 [20.68-29.22]	29.14 [24.71-33.74]	18.3110028420625	8.89 [7.64-10.28]	8.64 [7.34-9.99]	-0.1 [-0.12 to -0.08]
Mongolia	3.49 [2.99-4.04]	4.53 [3.92-5.21]	29.7994269340974	14.01 [12.27-15.88]	13.02 [11.29-14.87]	-0.33 [-0.35 to -0.3]
Chad	11.26 [9.53-13.27]	30.01 [25.2-35.54]	166.51865008881	17.91 [15.69-20.29]	18.09 [15.79-20.5]	0.05 [0.03 to 0.07]
Armenia	4.03 [3.42-4.67]	3.2 [2.78-3.64]	-20.5955334987593	11.49 [9.83-13.28]	11.41 [9.75-13.26]	0.01 [-0.07 to 0.1]
Cote d'Ivoire	22.09 [18.71-26.17]	45.67 [38.71-53.39]	106.74513354459	17.88 [15.66-20.31]	17.91 [15.61-20.33]	0.02 [-0.01 to 0.05]
Azerbaijan	11.24 [9.7-12.92]	12.89 [11.29-14.68]	14.6797153024911	14.24 [12.48-16.19]	13.67 [11.99-15.72]	-0.25 [-0.32 to -0.18]
Colombia	50.52 [40.74-60.98]	62.29 [52.78-72.13]	23.2977038796516	14.11 [11.67-16.77]	14.36 [11.98-16.95]	0.07 [0.04 to 0.1]
Chile	9.2 [7.68-10.99]	11.82 [10.01-13.65]	28.4782608695652	6.93 [5.84-8.22]	6.97 [5.82-8.3]	-0.37 [-0.55 to -0.19]
Costa Rica	5.67 [4.63-6.81]	5.95 [4.98-6.91]	4.93827160493828	16.62 [13.88-19.52]	14.4 [11.79-16.98]	-0.63 [-0.77 to -0.49]
Iceland	0.42 [0.36-0.48]	0.57 [0.5-0.64]	35.7142857142857	16.59 [14.38-18.89]	16.44 [14.23-18.74]	0.07 [0.01 to 0.14]
Ireland	2.35 [2-2.71]	3.26 [2.82-3.68]	38.7234042553191	6.59 [5.63-7.6]	6.54 [5.61-7.53]	-0.01 [-0.03 to 0.02]
China	2482.7 [2062.49-2930.74]	2172.27 [1881.69-2484.98]	-12.5037257824143	21.41 [17.78-25.33]	20.95 [17.53-24.67]	0.02 [-0.1 to 0.14]
Uruguay	2.56 [2.22-2.92]	2.84 [2.48-3.21]	10.9375	8.17 [7.02-9.39]	8.25 [7.05-9.56]	-0.08 [-0.24 to 0.08]
Israel	3.38 [2.89-3.9]	6.52 [5.63-7.43]	92.8994082840237	6.81 [5.87-7.85]	6.74 [5.78-7.72]	-0.1 [-0.15 to -0.06]
Democratic People's Republic of Korea	29.23 [24.16-35.09]	23.87 [20.16-27.91]	-18.3373246664386	12.31 [10.17-14.74]	11.79 [9.72-14.1]	-0.22 [-0.25 to -0.18]
Niger	14.74 [12.3-17.61]	41.73 [34.63-49.91]	183.107191316146	17.3 [15.03-19.73]	17.05 [14.76-19.41]	-0.06 [-0.12 to 0]
Nigeria	168.66 [142.13-198.73]	381.48 [320.3-451.54]	126.182853077197	17.44 [15.11-19.92]	17.07 [14.77-19.51]	-0.06 [-0.15 to 0.03]
Sao Tome and Principe	0.29 [0.25-0.34]	0.44 [0.38-0.5]	51.7241379310345	23.78 [21.09-26.45]	22.67 [19.97-25.38]	-0.24 [-0.31 to -0.17]
