"","9_1","9_2","9_3","17_1","17_2","17_3","87_1","87_2","87_3","136_1","136_2","136_3","42_1","42_2","42_3","CK_1","CK_2","CK_3"
"Armatimonadota",0.00141558400704646,0.00147492625368732,0.0023235317682878,0.00577132314679029,0.0059965353351397,0.00108582758946275,0.00248678893378924,0.00099085853097232,0.00190597204574333,0.000691540158724932,0.000617719731733145,0.00143031040779063,0.00163697640828117,0.00526957794584045,0.00180237489397795,0.00296704461163505,0.00301810865191147,0.0018985221308119
"Firmicutes",0.0012268394727736,0.0012220817530552,0.000280426247896803,0.00137187189554851,0.00022209390130147,0.027523368898121,0.000880737747383691,0.000575337211532315,0.00107210927573062,0.000329304837488063,0.000352982703847511,0.000547778454047474,0.000577756379393356,0.00107343254452305,0.000901187446988974,0.000741761152908763,0.00100603621730382,0.00119122957227413
"Verrucomicrobiota",0.00103809493850074,0.00067425200168563,0.00112170499158721,0.000567671129192488,0,0.0108110659994335,0.000854833695990053,0.000383558141021543,0.00158831003811944,0.000592748707478513,0.00029415225320626,0.000547778454047474,0.000337024554646124,0.00102464015613564,0.000477099236641221,0.000317897636960899,0.0005700871898055,0
"Bdellovibrionota",0.000912265248985498,0.000927096502317741,0.000841278743690409,0.0012772600406831,0.00151023852885,0.000424889056746294,0.000466272925085483,0.000639263568369239,0.00131035578144854,0.0010537754799618,0.00141193081539005,0.000547778454047474,0.00115551275878671,0.00136618687484752,0.00106022052586938,0.000900709971389213,0.000938967136150235,0.00160071473774336
"Halobacterota",0,0,0,0,0,0.0185062789160608,0,0,0,0,0,0,0,0,0.000106022052586938,0,0,0
"Bacteroidota",0.000912265248985498,0.00101137800252844,0.00184280105760756,0.000756894838923317,0.000977213165726469,0.000472098951940327,0.000647601284840949,0.00015981589209231,0.000158831003811944,0.000954984028715382,0.000735380633015649,0.00076080340839927,0.000481463649494463,0.000487923883874116,0.000424088210347752,0.000794744092402246,0.000670690811535882,0.000707292558537766
"Elusimicrobiota",0.00226493441127434,0.000252844500632111,0.00128194856181396,0,0.000755119264424999,0.000141629685582098,0.000595793182053673,0.000863005817298472,0.00127064803049555,0.000461026772483288,0.000352982703847511,0.000578210590383445,0.000337024554646124,0.000292754330324469,0.000371077184054283,0,0.000335345405767941,0.0001116777724007
"Deferribacterota",0.000346031646166913,0.000842815002107038,0.000640974280906979,0.00104073040351956,0.000755119264424999,0.000236049475970163,0,0.000351594962603081,0.000317662007623888,0.000131721934995225,0.000411813154488763,0.000486914181375533,0.000481463649494463,0.00107343254452305,0.00111323155216285,0.00068877821341528,0.00120724346076459,0.000744518482671332
"Myxococcota",0.000912265248985498,0.00160134850400337,0.000560852495793606,0.000567671129192488,0.000799538044685293,0.000377679161552261,0,0.000479447676276929,0.000555908513341804,0.000164652418744031,0.000382397929168137,3.04321363359708e-05,9.62927298988926e-05,9.75847767748231e-05,0.00164334181509754,0.000158948818480449,0.000637156270959088,0.000930648103339165
"Thermoplasmatota",0,0,0.000200304462783431,0.000614977056625195,0.00115488828676765,9.44197903880653e-05,0.000751217490415501,0.000223742248929234,0.000476493011435832,0.000296374353739256,8.82456759618779e-05,0.000943396226415094,0.000337024554646124,0.000829470602585997,0.00111323155216285,0.000953692910882696,0.000134138162307176,0.000297807393068533
