,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
TCGA.G4.6310.01A.11R.1723.07,-0.141578611834726,-0.23485173251888,0.288379283284269,-0.200328361979498,-0.201293833608878,0.126719237998558,0.00476783987348099,0.028869043091885,-0.114005581347124,-0.161837990716003,0.0274280234247858,0.00793964862556953,0.205778739279486,0.141666666666667,-0.181968654785026,0.282054901458568,0.0847647108537849,0.194587539801319,-0.0442295822686716,0.00349858872608891,-0.0494557205217728,-0.164897568818144,0.0101665676002837,-0.283722741433022
TCGA.AA.3679.01A.02R.0905.07,-0.0477183411999141,-0.179133336499835,0.29241469733223,-0.0300322912095401,-0.0745554142282013,0.0609487568213356,0.103404170827793,0.0871995576994224,-0.13221067730891,-0.0725265795027021,0.102520160215467,0.075180683231705,0.140206557288937,0.104283489096573,-0.0523013116694627,0.255133807000953,0.0234429906101165,0.140350737036174,-0.0527680948970982,-0.0831908365208232,-0.0191145813599103,0.00552031474616629,0.0138734032948429,-0.146573208722741
TCGA.AA.3521.01A.01R.0821.07,-0.0785235395482066,-0.208542274456861,0.279207544293166,-0.103533609300303,-0.0882362021289301,0.12158423154344,0.0685134411052582,0.132585156833946,-0.122723349384272,-0.0637411362996906,0.0785990364065388,0.0312228736072357,0.151724461221797,0.181230529595016,-0.0456376754994378,0.272587278671439,0.0541189924397547,0.212949831489424,-0.0385563527046574,-0.0521650033026616,-0.0323011353018643,0.106724482790379,0.0118974051271831,-0.106308411214953
TCGA.CM.5860.01A.01R.1653.07,0.0210521756419343,-0.243085419313457,0.287866032481123,-0.0554960757533742,-0.121420282849147,0.0651568241073229,0.089659450029131,0.223526520097422,-0.0835684000767012,-0.0775714114659624,-0.014411950507924,0.0148670361953363,0.149483025854374,0.130218068535826,-0.0390815543263831,0.297315786315665,0.0292630170103164,0.12789911119705,-0.0103635867618057,0.00764543811649904,0.0471365333657239,-0.191483307947251,0.0609290494115306,0.0661993769470405
TCGA.AA.3492.01A.01R.1410.07,0.0566723031385786,-0.238011452201615,0.253600945294547,0.0786806630873079,-0.0223232665209492,0.0752869325517875,0.126175991767812,0.157940090431109,-0.157676386360382,-0.05828232939452,0.0975732857236669,0.0204980260605531,0.10344675236674,0.241822429906542,0.0675314775931223,0.276197819478699,0.0149076952146038,0.179161572045889,-0.0231786496881443,-0.0450706858100753,0.0137659710291015,0.0836316712169565,0.0767053786346782,-0.0675233644859813
TCGA.F4.6459.01A.11R.1774.07,-0.11052713661078,-0.228510357819596,0.25883071161283,-0.0884810475106725,-0.118795708620093,0.136264752640222,0.140083906726294,0.175027413382845,-0.0345455791165961,-0.0998722688093808,0.00589706378600029,0.0917769490600227,0.182642218956331,0.328348909657321,-0.0766747464325568,0.267447287379478,0.0459178280664325,0.180108072369596,0.00533226457560483,-0.0471675507816378,0.000618339892555191,-0.237126852468333,0.0398315360506956,-0.100077881619938
TCGA.AA.3678.01A.01R.0905.07,0.0897288264622767,-0.206149130206372,0.283709622849395,-0.0165447810426964,-0.019414300756748,0.0858393041772741,0.088470841676361,0.0889947262964064,-0.111141571820923,-0.0508497367105335,-0.0171635373076204,0.110412892007398,0.122893027760993,0.212616822429907,0.0261536377017254,0.265684732401813,0.0258783573200797,0.169083158795065,-0.0272348740944955,-0.0558171673940595,0.0245148920026491,0.0169630651545022,0.0328706331214194,-0.113785046728972
TCGA.G4.6314.01A.11R.1723.07,-0.0800760398986391,-0.22880676026042,0.269808686927666,-0.0892539080935967,-0.101893123535114,0.0913980598970137,0.111495848210566,0.130478523303424,-0.0928856199024351,-0.142726370339258,0.0522889403314678,0.0389252690169764,0.195610637528836,0.110669781931464,-0.0604940581922273,0.292475183482861,0.0364999207046394,0.215057550438043,-0.0189238357011341,-0.0294954698746696,-0.00285966104820876,-0.118116698025689,0.0394994722255986,-0.0365264797507788
TCGA.A6.2685.01A.01R.1410.07,-0.0553531167417163,-0.180734962950046,0.270918125603913,-0.00507069704019068,0.0504692358981076,0.166902355868741,0.213722044953636,0.269289049234095,0.0258908222840396,-0.00237977325045161,0.100483303699063,0.0576536556469281,0.192652357009531,0.406152647975078,0.0205806983268409,0.21796956698002,0.0181066677691381,0.192794378258548,-0.017862008856149,-0.0597777885081758,0.0274339334448902,0.00542350151675574,-0.0296949199144529,-0.00319314641744548
TCGA.A6.5660.01A.01R.1653.07,-0.146133656706137,-0.22223064165391,0.289665207763592,-0.142584851908282,-0.142248920641539,0.0629489076812335,0.119309272928247,0.137572265831977,-0.126279721536397,-0.0884997951243259,0.0119527945860506,0.0410706565929898,0.152489220658597,0.171183800623053,-0.0794905710331363,0.299225827665912,0.0599439966529432,0.185426788913448,-0.0523344154807523,-0.0512542843261595,-0.0452567921113495,-0.113488917163349,0.0100440567847667,-0.141043613707165
