SYMBOL,avg_log2FC,AveExpr,t,Pvalue,adj.P.Val,B
METTL8,0.100822406,3.44017956,1.310599571,0.224774194,0.485984313,-5.672468228
KBTBD4 ,-0.1035272,3.265126249,-1.310450858,0.224822235,0.486018464,-5.67264471
FZD7,-0.189024588,3.171798906,-1.310301047,0.22487064,0.48605339,-5.672822482
QDPR,0.04056817,3.428462647,1.310157664,0.224916977,0.486083836,-5.672992614
RAD51-AS1,0.045328616,1.622588881,1.3099931,0.224970168,0.486129086,-5.673187863
SNHG22,0.039448858,1.87912953,1.309704787,0.225063384,0.486197362,-5.673529898
LOC142937,0.251106271,1.850115904,1.309670739,0.225074394,0.486197362,-5.673570287
JARID2,0.074177336,3.584379942,1.309554292,0.225112054,0.486197362,-5.673708416
COG3,-0.213778,2.24603892,-1.309480555,0.225135904,0.486197362,-5.673795878
LOC101928403,0.036747758,1.920325034,1.309355351,0.225176406,0.486197362,-5.673944378
GGA3,0.075998692,3.125009252,1.309257652,0.225208014,0.486197362,-5.67406025
LOC100996693 ,-0.254885901,2.487144317,-1.309197202,0.225227573,0.486197362,-5.674131942
WIPF2,0.039519455,3.226691973,1.309020194,0.225284854,0.486238034,-5.674341855
TUBGCP3,0.082004891,1.751526636,1.308939609,0.225310936,0.486238034,-5.674437414
GBAP1,0.111644882,3.197842542,1.308793213,0.225358325,0.486270676,-5.674611003
C20orf196,-0.054636928,1.960152741,-1.308677347,0.225395837,0.486282,-5.674748382
RRN3 ,0.06271413,3.159356828,1.308232219,0.225539997,0.486523378,-5.675276084
LOC340085,0.084363536,2.319967711,1.307797582,0.225680836,0.486739105,-5.675791237
RP11-216L13.19,0.041154284,2.047249693,1.307724293,0.225704592,0.486739105,-5.675878091
MZT2B,0.151089621,2.667840851,1.306590663,0.226072313,0.48746236,-5.677221149
ABCA1,0.117876834,3.323118931,1.306130223,0.226221813,0.487690262,-5.677766433
DPCD,-0.12498002,3.205175483,-1.306065845,0.226242722,0.487690262,-5.677842664
FAM26E,0.056234815,2.265023402,1.305824702,0.226321058,0.487757933,-5.678128183
DTNBP1,0.093794424,3.285805992,1.305472666,0.226435459,0.487757933,-5.678544939
DALRD3,0.066956163,2.653771653,1.305392659,0.226461466,0.487757933,-5.678639645
LOC645513,0.139365625,1.779681032,1.305321137,0.226484717,0.487757933,-5.678724304
OXLD1,0.066689615,3.040201646,1.305245623,0.226509268,0.487757933,-5.678813685
LEMD1,0.340916006,2.115910966,1.30524363,0.226509916,0.487757933,-5.678816044
ADAMTSL3,-0.420788531,2.622824996,-1.305220578,0.226517411,0.487757933,-5.678843328
CAMK2G,-0.08583633,3.254463273,-1.305025661,0.226580793,0.487757933,-5.679074019
ZNF558,0.045161839,3.27669814,1.304994778,0.226590837,0.487757933,-5.679110568
ECD,-0.045090628,3.282829518,-1.304973572,0.226597734,0.487757933,-5.679135664
IGHMBP2,0.291886087,2.435924219,1.304738651,0.22667415,0.487813486,-5.679413664
TMPRSS13,0.217339379,2.662953613,1.304688557,0.226690447,0.487813486,-5.679472941
SLC16A10,0.089542848,1.860192885,1.30436102,0.226797032,0.487813486,-5.679860476
LYPD5,-0.299544743,2.161111487,-1.304220523,0.226842765,0.487813486,-5.680026689
