OTUID	A1	A2	A3	B1	B2	B3	C1	C2	C3
OTU2022	1	0	0	0	0	1	0	0	0
OTU2023	1	0	0	0	0	1	0	0	0
OTU2024	1	0	0	0	0	1	0	0	0
OTU2025	1	0	0	0	0	1	0	0	0
OTU2026	1	0	0	0	0	1	0	0	0
OTU2027	1	0	0	0	0	1	0	0	0
OTU2028	1	0	0	0	0	1	0	0	0
OTU2029	1	0	0	0	0	1	0	0	0
OTU2030	1	0	0	0	0	1	0	0	0
OTU2031	1	0	0	0	0	1	0	0	0
OTU2032	1	0	0	0	0	1	0	0	0
OTU2033	1	0	0	0	0	1	0	0	0
OTU2034	1	0	0	0	0	1	0	0	0
OTU2035	1	0	0	0	0	1	0	0	0
OTU2036	1	0	0	0	0	1	0	0	0
OTU2037	1	0	0	0	0	1	0	0	0
OTU2038	1	0	0	0	0	1	0	0	0
OTU2039	1	0	0	0	0	1	0	0	0
OTU2040	1	0	0	0	0	1	0	0	0
OTU2041	1	0	0	0	0	1	0	0	0
OTU2042	1	0	0	0	0	1	0	0	0
OTU2043	1	0	0	0	0	1	0	0	0
OTU2044	1	0	0	0	0	1	0	0	0
OTU2045	1	0	0	0	0	1	0	0	0
OTU2046	1	0	0	0	0	1	0	0	0
OTU2047	1	0	0	0	0	1	0	0	0
OTU2048	1	0	0	0	0	1	0	0	0
OTU2049	1	0	0	0	0	1	0	0	0
OTU2050	1	0	0	0	0	1	0	0	0
OTU2051	1	0	0	0	0	1	0	0	0
OTU2052	1	0	0	0	0	1	0	0	0
OTU2053	1	0	0	0	0	1	0	0	0
OTU2054	1	0	0	0	0	1	0	0	0
OTU2055	1	0	0	0	0	1	0	0	0
OTU2056	1	0	0	0	0	1	0	0	0
OTU2057	1	0	0	0	0	1	0	0	0
OTU2058	1	0	0	0	0	1	0	0	0
OTU2059	1	0	0	0	0	1	0	0	0
OTU2060	1	0	0	0	0	1	0	0	0
OTU2061	1	0	0	0	0	1	0	0	0
OTU2062	1	0	0	0	0	1	0	0	0
OTU2063	1	0	0	0	0	1	0	0	0
OTU2064	1	0	0	0	0	1	0	0	0
OTU2065	1	0	0	0	0	1	0	0	0
OTU2066	1	0	0	0	0	1	0	0	0
OTU2067	1	0	0	0	0	1	0	0	0
OTU2068	1	0	0	0	0	1	0	0	0
OTU2069	1	0	0	0	0	1	0	0	0
OTU2070	1	0	0	0	0	1	0	0	0
OTU2071	1	0	0	0	0	1	0	0	0
OTU2072	1	0	0	0	0	1	0	0	0
OTU2073	1	0	0	0	0	1	0	0	0
OTU2074	1	0	0	0	0	1	0	0	0
OTU2075	1	0	0	0	0	1	0	0	0
OTU2076	1	0	0	0	0	1	0	0	0
OTU2077	1	0	0	0	0	1	0	0	0
OTU2078	1	0	0	0	0	1	0	0	0
OTU2079	1	0	0	0	0	1	0	0	0
OTU2080	1	0	0	0	0	1	0	0	0
OTU2081	1	0	0	0	0	1	0	0	0
OTU2082	1	0	0	0	0	1	0	0	0
OTU2083	1	0	0	0	0	1	0	0	0
OTU2084	1	0	0	0	0	1	0	0	0
OTU2085	1	0	0	0	0	1	0	0	0
OTU2086	1	0	0	0	0	1	0	0	0
OTU2087	1	0	0	0	0	1	0	0	0
OTU2088	1	0	0	0	0	1	0	0	0
OTU2089	1	0	0	0	0	1	0	0	0
OTU2090	1	0	0	0	0	1	0	0	0
OTU2091	1	0	0	0	0	1	0	0	0
OTU2092	1	0	0	0	0	1	0	0	0
OTU2093	1	0	0	0	0	1	0	0	0
OTU2094	1	0	0	0	0	1	0	0	0
OTU2095	1	0	0	0	0	1	0	0	0
OTU2096	1	0	0	0	0	1	0	0	0
OTU2097	1	0	0	0	0	1	0	0	0
OTU2098	1	0	0	0	0	1	0	0	0
OTU2099	1	0	0	0	0	1	0	0	0
OTU2100	1	0	0	0	0	1	0	0	0
OTU2101	1	0	0	0	0	1	0	0	0
OTU2102	1	0	0	0	0	1	0	0	0
OTU2103	1	0	0	0	0	1	0	0	0
OTU2104	1	0	0	0	0	1	0	0	0
OTU2105	1	0	0	0	0	1	0	0	0
OTU2106	1	0	0	0	0	1	0	0	0
OTU2107	1	0	0	0	0	1	0	0	0
OTU2108	1	0	0	0	0	1	0	0	0
OTU2109	1	0	0	0	0	1	0	0	0
OTU2110	1	0	0	0	0	1	0	0	0
OTU2111	1	0	0	0	0	1	0	0	0
OTU2112	1	0	0	0	0	1	0	0	0
OTU2113	1	0	0	0	0	1	0	0	0
OTU2114	1	0	0	0	0	1	0	0	0
OTU2115	1	0	0	0	0	1	0	0	0
OTU2116	1	0	0	0	0	1	0	0	0
OTU2117	1	0	0	0	0	1	0	0	0
OTU2118	1	0	0	0	0	1	0	0	0
OTU2119	1	0	0	0	0	1	0	0	0
OTU2120	1	0	0	0	0	1	0	0	0
OTU2121	1	0	0	0	0	1	0	0	0
OTU2122	1	0	0	0	0	1	0	0	0
OTU2123	1	0	0	0	0	1	0	0	0
OTU2124	1	0	0	0	0	1	0	0	0
OTU2125	1	0	0	0	0	1	0	0	0
OTU2126	1	0	0	0	0	1	0	0	0
OTU2127	1	0	0	0	0	1	0	0	0
OTU2128	1	0	0	0	0	1	0	0	0
OTU2129	1	0	0	0	0	1	0	0	0
OTU2130	1	0	0	0	0	1	0	0	0
OTU2131	1	0	0	0	0	1	0	0	0
OTU2163	0	0	0	0	1	0	0	0	0
OTU2164	0	0	0	0	1	0	0	0	0
OTU2165	0	0	0	0	1	0	0	0	0
OTU2166	0	0	0	0	1	0	0	0	0
OTU2167	0	0	0	0	1	0	0	0	0
OTU2168	0	0	0	0	1	0	0	0	0
OTU2169	0	0	0	0	1	0	0	0	0
OTU2170	0	0	0	0	1	0	0	0	0
OTU2171	0	0	0	0	1	0	0	0	0
OTU2172	0	0	0	0	1	0	0	0	0
OTU2173	0	0	0	0	1	0	0	0	0
OTU2174	0	0	0	0	1	0	0	0	0
OTU2175	0	0	0	0	1	0	0	0	0
OTU2176	0	0	0	0	1	0	0	0	0
OTU2177	0	0	0	0	1	0	0	0	0
OTU2178	0	0	0	0	1	0	0	0	0
OTU2179	0	0	0	0	1	0	0	0	0
OTU2180	0	0	0	0	1	0	0	0	0
OTU2181	0	0	0	0	1	0	0	0	0
OTU2182	0	0	0	0	1	0	0	0	0
OTU2183	0	0	0	0	1	0	0	0	0
OTU2184	0	0	0	0	1	0	0	0	0
OTU2185	0	0	0	0	1	0	0	0	0
OTU2186	0	0	0	0	1	0	0	0	0
OTU2187	0	0	0	0	1	0	0	0	0
OTU2188	0	0	0	0	1	0	0	0	0
OTU2189	0	0	0	0	1	0	0	0	0
OTU2190	0	0	0	0	1	0	0	0	0
OTU2191	0	0	0	0	1	0	0	0	0
OTU2192	0	0	0	0	1	0	0	0	0
OTU2193	0	0	0	0	1	0	0	0	0
OTU2194	0	0	0	0	1	0	0	0	0
OTU2195	0	0	0	0	1	0	0	0	0
OTU2196	0	0	0	0	1	0	0	0	0
OTU2197	0	0	0	0	1	0	0	0	0
OTU2198	0	0	0	0	1	0	0	0	0
OTU2199	0	0	0	0	1	0	0	0	0
OTU2200	0	0	0	0	1	0	0	0	0
OTU2201	0	0	0	0	1	0	0	0	0
OTU2202	0	0	0	0	1	0	0	0	0
OTU2203	0	0	0	0	1	0	0	0	0
OTU2204	0	0	0	0	1	0	0	0	0
OTU2205	0	0	0	0	1	0	0	0	0
OTU2206	0	0	0	0	1	0	0	0	0
OTU2207	0	0	0	0	1	0	0	0	0
OTU2208	0	0	0	0	1	0	0	0	0
OTU2209	0	0	0	0	1	0	0	0	0
OTU2210	0	0	0	0	1	0	0	0	0
OTU2211	0	0	0	0	1	0	0	0	0
OTU2212	0	0	0	0	1	0	0	0	0
OTU2213	0	0	0	0	1	0	0	0	0
OTU2214	0	0	0	0	1	0	0	0	0
OTU2215	0	0	0	0	1	0	0	0	0
OTU2216	0	0	0	0	1	0	0	0	0
OTU2217	0	0	0	0	1	0	0	0	0
OTU2218	0	0	0	0	1	0	0	0	0
OTU2219	0	0	0	0	1	0	0	0	0
OTU2220	0	0	0	0	1	0	0	0	0
OTU2221	0	0	0	0	1	0	0	0	0
OTU2222	0	0	0	0	1	0	0	0	0
OTU2223	0	0	0	0	1	0	0	0	0
OTU2224	0	0	0	0	1	0	0	0	0
OTU2225	0	0	0	0	1	0	0	0	0
OTU2226	0	0	0	0	1	0	0	0	0
OTU2227	0	0	0	0	1	0	0	0	0
OTU2228	0	0	0	0	1	0	0	0	0
OTU2229	0	0	0	0	1	0	0	0	0
OTU2230	0	0	0	0	1	0	0	0	0
OTU2231	0	0	0	0	1	0	0	0	0
OTU2232	0	0	0	0	1	0	0	0	0
OTU2233	0	0	0	0	1	0	0	0	0
OTU2234	0	0	0	0	1	0	0	0	0
OTU2235	0	0	0	0	1	0	0	0	0
OTU2236	0	0	0	0	1	0	0	0	0
OTU2237	0	0	0	0	1	0	0	0	0
OTU2238	0	0	0	0	1	0	0	0	0
OTU2239	0	0	0	0	1	0	0	0	0
OTU2240	0	0	0	0	1	0	0	0	0
OTU2241	0	0	0	0	1	0	0	0	0
OTU2242	0	0	0	0	1	0	0	0	0
OTU2243	0	0	0	0	1	0	0	0	0
OTU2244	0	0	0	0	1	0	0	0	0
OTU2245	0	0	0	0	1	0	0	0	0
OTU2246	0	0	0	0	1	0	0	0	0
OTU2247	0	0	0	0	1	0	0	0	0
OTU2248	0	0	0	0	1	0	0	0	0
OTU2249	0	0	0	0	1	0	0	0	0
OTU2250	0	0	0	0	1	0	0	0	0
OTU2251	0	0	0	0	1	0	0	0	0
OTU2252	0	0	0	0	1	0	0	0	0
OTU2253	0	0	0	0	1	0	0	0	0
OTU2254	0	0	0	0	1	0	0	0	0
OTU2255	0	0	0	0	1	0	0	0	0
OTU2256	0	0	0	0	1	0	0	0	0
OTU2257	0	0	0	0	1	0	0	0	0
OTU2258	0	0	0	0	1	0	0	0	0
OTU2259	0	0	0	0	1	0	0	0	0
OTU2260	0	0	0	0	1	0	0	0	0
OTU2261	0	0	0	0	1	0	0	0	0
OTU2262	0	0	0	0	1	0	0	0	0
OTU2263	0	0	0	0	1	0	0	0	0
OTU2264	0	0	0	0	1	0	0	0	0
OTU2265	0	0	0	0	1	0	0	0	0
OTU2266	0	0	0	0	1	0	0	0	0
OTU2267	0	0	0	0	1	0	0	0	0
OTU2268	0	0	0	0	1	0	0	0	0
OTU2269	0	0	0	0	1	0	0	0	0
OTU2270	0	0	0	0	1	0	0	0	0
OTU2271	0	0	0	0	1	0	0	0	0
OTU2272	0	0	0	0	1	0	0	0	0
OTU2273	0	0	0	0	1	0	0	0	0
OTU2274	0	0	0	0	1	0	0	0	0
OTU2275	0	0	0	0	1	0	0	0	0
OTU2276	0	0	0	0	1	0	0	0	0
OTU2277	0	0	0	0	1	0	0	0	0
OTU2278	0	0	0	0	1	0	0	0	0
OTU2279	0	0	0	0	1	0	0	0	0
OTU2280	0	0	0	0	1	0	0	0	0
OTU2281	0	0	0	0	1	0	0	0	0
OTU2282	0	0	0	0	1	0	0	0	0
OTU2283	0	0	0	0	1	0	0	0	0
OTU2320	0	0	0	1	0	0	0	0	0
OTU2321	0	0	0	1	0	0	0	0	0
OTU2322	0	0	0	1	0	0	0	0	0
OTU2323	0	0	0	1	0	0	0	0	0
OTU2324	0	0	0	1	0	0	0	0	0
OTU2325	0	0	0	1	0	0	0	0	0
OTU2326	0	0	0	1	0	0	0	0	0
OTU2327	0	0	0	1	0	0	0	0	0
OTU2328	0	0	0	1	0	0	0	0	0
OTU2329	0	0	0	1	0	0	0	0	0
OTU2330	0	0	0	1	0	0	0	0	0
OTU2331	0	0	0	1	0	0	0	0	0
OTU2332	0	0	0	1	0	0	0	0	0
OTU2333	0	0	0	1	0	0	0	0	0
OTU2334	0	0	0	1	0	0	0	0	0
OTU2335	0	0	0	1	0	0	0	0	0
OTU2336	0	0	0	1	0	0	0	0	0
OTU2337	0	0	0	1	0	0	0	0	0
OTU2338	0	0	0	1	0	0	0	0	0
OTU2339	0	0	0	1	0	0	0	0	0
OTU2340	0	0	0	1	0	0	0	0	0
OTU2341	0	0	0	1	0	0	0	0	0
OTU2342	0	0	0	1	0	0	0	0	0
OTU2343	0	0	0	1	0	0	0	0	0
OTU2344	0	0	0	1	0	0	0	0	0
OTU2345	0	0	0	1	0	0	0	0	0
OTU2346	0	0	0	1	0	0	0	0	0
OTU2347	0	0	0	1	0	0	0	0	0
OTU2348	0	0	0	1	0	0	0	0	0
OTU2349	0	0	0	1	0	0	0	0	0
OTU2350	0	0	0	1	0	0	0	0	0
OTU2351	0	0	0	1	0	0	0	0	0
OTU2352	0	0	0	1	0	0	0	0	0
OTU2353	0	0	0	1	0	0	0	0	0
OTU2354	0	0	0	1	0	0	0	0	0
OTU2355	0	0	0	1	0	0	0	0	0
OTU2356	0	0	0	1	0	0	0	0	0
OTU2357	0	0	0	1	0	0	0	0	0
OTU2358	0	0	0	1	0	0	0	0	0
OTU2359	0	0	0	1	0	0	0	0	0
OTU2360	0	0	0	1	0	0	0	0	0
OTU2361	0	0	0	1	0	0	0	0	0
OTU2362	0	0	0	1	0	0	0	0	0
OTU2363	0	0	0	1	0	0	0	0	0
OTU2364	0	0	0	1	0	0	0	0	0
OTU2365	0	0	0	1	0	0	0	0	0
OTU2366	0	0	0	1	0	0	0	0	0
OTU2367	0	0	0	1	0	0	0	0	0
OTU2368	0	0	0	1	0	0	0	0	0
OTU2369	0	0	0	1	0	0	0	0	0
OTU2370	0	0	0	1	0	0	0	0	0
OTU2371	0	0	0	1	0	0	0	0	0
OTU2372	0	0	0	1	0	0	0	0	0
OTU2373	0	0	0	1	0	0	0	0	0
OTU2374	0	0	0	1	0	0	0	0	0
OTU2375	0	0	0	1	0	0	0	0	0
OTU2376	0	0	0	1	0	0	0	0	0
OTU2377	0	0	0	1	0	0	0	0	0
OTU2378	0	0	0	1	0	0	0	0	0
OTU2379	0	0	0	1	0	0	0	0	0
OTU2380	0	0	0	1	0	0	0	0	0
OTU2381	0	0	0	1	0	0	0	0	0
OTU2382	0	0	0	1	0	0	0	0	0
OTU2383	0	0	0	1	0	0	0	0	0
OTU2384	0	0	0	1	0	0	0	0	0
OTU2385	0	0	0	1	0	0	0	0	0
OTU2386	0	0	0	1	0	0	0	0	0
OTU2387	0	0	0	1	0	0	0	0	0
OTU2388	0	0	0	1	0	0	0	0	0
OTU2389	0	0	0	1	0	0	0	0	0
OTU2390	0	0	0	1	0	0	0	0	0
OTU2391	0	0	0	1	0	0	0	0	0
OTU2392	0	0	0	1	0	0	0	0	0
OTU2393	0	0	0	1	0	0	0	0	0
OTU2394	0	0	0	1	0	0	0	0	0
OTU2395	0	0	0	1	0	0	0	0	0
OTU2396	0	0	0	1	0	0	0	0	0
OTU2397	0	0	0	1	0	0	0	0	0
OTU2398	0	0	0	1	0	0	0	0	0
OTU2399	0	0	0	1	0	0	0	0	0
OTU2400	0	0	0	1	0	0	0	0	0
OTU2401	0	0	0	1	0	0	0	0	0
OTU2402	0	0	0	1	0	0	0	0	0
OTU2403	0	0	0	1	0	0	0	0	0
OTU2404	0	0	0	1	0	0	0	0	0
OTU2405	0	0	0	1	0	0	0	0	0
OTU2406	0	0	0	1	0	0	0	0	0
OTU2407	0	0	0	1	0	0	0	0	0
OTU2408	0	0	0	1	0	0	0	0	0
OTU2409	0	0	0	1	0	0	0	0	0
OTU2410	0	0	0	1	0	0	0	0	0
OTU2411	0	0	0	1	0	0	0	0	0
OTU2412	0	0	0	1	0	0	0	0	0
OTU2413	0	0	0	1	0	0	0	0	0
OTU2414	0	0	0	1	0	0	0	0	0
OTU2415	0	0	0	1	0	0	0	0	0
OTU2416	0	0	0	1	0	0	0	0	0
OTU2417	0	0	0	1	0	0	0	0	0
OTU2418	0	0	0	1	0	0	0	0	0
OTU2419	0	0	0	1	0	0	0	0	0
OTU2420	0	0	0	1	0	0	0	0	0
OTU2421	0	0	0	1	0	0	0	0	0
OTU2422	0	0	0	1	0	0	0	0	0
OTU2423	0	0	0	1	0	0	0	0	0
OTU2424	0	0	0	1	0	0	0	0	0
OTU2425	0	0	0	1	0	0	0	0	0
OTU2426	0	0	0	1	0	0	0	0	0
OTU2427	0	0	0	1	0	0	0	0	0
OTU2428	0	0	0	1	0	0	0	0	0
OTU2429	0	0	0	1	0	0	0	0	0
OTU2430	0	0	0	1	0	0	0	0	0
OTU2431	0	0	0	1	0	0	0	0	0
OTU2432	0	0	0	1	0	0	0	0	0
OTU2433	0	0	0	1	0	0	0	0	0
OTU2434	0	0	0	1	0	0	0	0	0
OTU2435	0	0	0	1	0	0	0	0	0
OTU2436	0	0	0	1	0	0	0	0	0
OTU2437	0	0	0	1	0	0	0	0	0
OTU2438	0	0	0	1	0	0	0	0	0
OTU2439	0	0	0	1	0	0	0	0	0
OTU2440	0	0	0	1	0	0	0	0	0
OTU2441	0	0	0	1	0	0	0	0	0
OTU2442	0	0	0	1	0	0	0	0	0
OTU2443	0	0	0	1	0	0	0	0	0
OTU2444	0	0	0	1	0	0	0	0	0
OTU2445	0	0	0	1	0	0	0	0	0
OTU2446	0	0	0	1	0	0	0	0	0
OTU2447	0	0	0	1	0	0	0	0	0
OTU2448	0	0	0	1	0	0	0	0	0
OTU2449	0	0	0	1	0	0	0	0	0
OTU2450	0	0	0	1	0	0	0	0	0
OTU2451	0	0	0	1	0	0	0	0	0
OTU2452	0	0	0	1	0	0	0	0	0
OTU2453	0	0	0	1	0	0	0	0	0
OTU2454	0	0	0	1	0	0	0	0	0
OTU2455	0	0	0	1	0	0	0	0	0
OTU2456	0	0	0	1	0	0	0	0	0
OTU2457	0	0	0	1	0	0	0	0	0
OTU2458	0	0	0	1	0	0	0	0	0
OTU2459	0	0	0	1	0	0	0	0	0
OTU2460	0	0	0	1	0	0	0	0	0
OTU2461	0	0	0	1	0	0	0	0	0
OTU2462	0	0	0	1	0	0	0	0	0
OTU2463	0	0	0	1	0	0	0	0	0
OTU2464	0	0	0	1	0	0	0	0	0
OTU2465	0	0	0	1	0	0	0	0	0
OTU2466	0	0	0	1	0	0	0	0	0
OTU2467	0	0	0	1	0	0	0	0	0
OTU2468	0	0	0	1	0	0	0	0	0
OTU2469	0	0	0	1	0	0	0	0	0
OTU2523	0	0	1	0	0	0	0	0	0
OTU2524	0	0	1	0	0	0	0	0	0
OTU2525	0	0	1	0	0	0	0	0	0
OTU2526	0	0	1	0	0	0	0	0	0
OTU2527	0	0	1	0	0	0	0	0	0
OTU2528	0	0	1	0	0	0	0	0	0
OTU2529	0	0	1	0	0	0	0	0	0
OTU2530	0	0	1	0	0	0	0	0	0
OTU2531	0	0	1	0	0	0	0	0	0
OTU2532	0	0	1	0	0	0	0	0	0
OTU2533	0	0	1	0	0	0	0	0	0
OTU2534	0	0	1	0	0	0	0	0	0
OTU2535	0	0	1	0	0	0	0	0	0
OTU2536	0	0	1	0	0	0	0	0	0
OTU2537	0	0	1	0	0	0	0	0	0
OTU2538	0	0	1	0	0	0	0	0	0
OTU2539	0	0	1	0	0	0	0	0	0
OTU2540	0	0	1	0	0	0	0	0	0
OTU2541	0	0	1	0	0	0	0	0	0
OTU2542	0	0	1	0	0	0	0	0	0
OTU2543	0	0	1	0	0	0	0	0	0
OTU2544	0	0	1	0	0	0	0	0	0
OTU2545	0	0	1	0	0	0	0	0	0
OTU2546	0	0	1	0	0	0	0	0	0
OTU2547	0	0	1	0	0	0	0	0	0
OTU2548	0	0	1	0	0	0	0	0	0
OTU2549	0	0	1	0	0	0	0	0	0
OTU2550	0	0	1	0	0	0	0	0	0
OTU2551	0	0	1	0	0	0	0	0	0
OTU2552	0	0	1	0	0	0	0	0	0
OTU2553	0	0	1	0	0	0	0	0	0
OTU2554	0	0	1	0	0	0	0	0	0
OTU2555	0	0	1	0	0	0	0	0	0
OTU2556	0	0	1	0	0	0	0	0	0
OTU2557	0	0	1	0	0	0	0	0	0
OTU2558	0	0	1	0	0	0	0	0	0
OTU2559	0	0	1	0	0	0	0	0	0
OTU2560	0	0	1	0	0	0	0	0	0
OTU2561	0	0	1	0	0	0	0	0	0
OTU2562	0	0	1	0	0	0	0	0	0
OTU2563	0	0	1	0	0	0	0	0	0
OTU2564	0	0	1	0	0	0	0	0	0
OTU2565	0	0	1	0	0	0	0	0	0
OTU2566	0	0	1	0	0	0	0	0	0
OTU2567	0	0	1	0	0	0	0	0	0
OTU2568	0	0	1	0	0	0	0	0	0
OTU2569	0	0	1	0	0	0	0	0	0
OTU2570	0	0	1	0	0	0	0	0	0
OTU2571	0	0	1	0	0	0	0	0	0
OTU2572	0	0	1	0	0	0	0	0	0
OTU2573	0	0	1	0	0	0	0	0	0
OTU2574	0	0	1	0	0	0	0	0	0
OTU2575	1	0	1	0	0	0	0	0	0
OTU2576	1	0	1	0	0	0	0	0	0
OTU2577	1	0	1	0	0	0	0	0	0
OTU2578	1	0	1	0	0	0	0	0	0
OTU2579	1	0	1	0	0	0	0	0	0
OTU2580	1	0	1	0	0	0	0	0	0
OTU2581	1	0	1	0	0	0	0	0	0
OTU2582	1	0	1	0	0	0	0	0	0
OTU2583	1	0	1	0	0	0	0	0	0
OTU2584	1	0	1	0	0	0	0	0	0
OTU2585	1	0	1	0	0	0	0	0	0
OTU2586	1	0	1	0	0	0	0	0	0
OTU2587	1	0	1	0	0	0	0	0	0
OTU2588	1	0	1	0	0	0	0	0	0
OTU2589	1	0	1	0	0	0	0	0	0
OTU2590	1	0	1	0	0	0	0	0	0
OTU2591	1	0	1	0	0	0	0	0	0
OTU2592	1	0	1	0	0	0	0	0	0
OTU2593	1	0	1	0	0	0	0	0	0
OTU2594	1	0	1	0	0	0	0	0	0
OTU2595	1	0	1	0	0	0	0	0	0
OTU2596	1	0	1	0	0	0	0	0	0
OTU2597	1	0	1	0	0	0	0	0	0
OTU2598	1	0	1	0	0	0	0	0	0
OTU2599	1	0	1	0	0	0	0	0	0
OTU2600	1	0	1	0	0	0	0	0	0
OTU2601	1	0	1	0	0	0	0	0	0
OTU2602	1	0	1	0	0	0	0	0	0
OTU2603	1	0	1	0	0	0	0	0	0
OTU2604	1	0	1	0	0	0	0	0	0
OTU2605	1	0	1	0	0	0	0	0	0
OTU2606	1	0	1	0	0	0	0	0	0
OTU2607	1	0	1	0	0	0	0	0	0
OTU2608	1	0	1	0	0	0	0	0	0
OTU2609	1	0	1	0	0	0	0	0	0
OTU2610	1	0	1	0	0	0	0	0	0
OTU2611	1	0	1	0	0	0	0	0	0
OTU2612	1	0	1	0	0	0	0	0	0
OTU2613	0	0	0	0	0	0	1	0	0
OTU2614	0	0	0	0	0	0	1	0	0
OTU2615	0	0	0	0	0	0	1	0	0
OTU2616	0	0	0	0	0	0	1	0	0
OTU2617	0	0	0	0	0	0	1	0	0
OTU2618	0	0	0	0	0	0	1	0	0
OTU2619	0	0	0	0	0	0	1	0	0
OTU2620	0	0	0	0	0	0	1	0	0
OTU2621	0	0	0	0	0	0	1	0	0
OTU2622	0	0	0	0	0	0	1	0	0
OTU2623	0	0	0	0	0	0	1	0	0
OTU2624	0	0	0	0	0	0	1	0	0
OTU2625	0	0	0	0	0	0	1	0	0
OTU2626	0	0	0	0	0	0	1	0	0
OTU2627	0	0	0	0	0	0	1	0	0
OTU2628	0	0	0	0	0	0	1	0	0
OTU2629	0	0	0	0	0	0	1	0	0
OTU2630	0	0	0	0	0	0	1	0	0
OTU2631	0	0	0	0	0	0	1	0	0
OTU2632	0	0	0	0	0	0	1	0	0
OTU2633	0	0	0	0	0	0	1	0	0
OTU2634	0	0	0	0	0	0	1	0	0
OTU2635	0	0	0	0	0	0	1	0	0
OTU2636	0	0	0	0	0	0	1	0	0
OTU2637	0	0	0	0	0	0	1	0	0
OTU2638	0	0	0	0	0	0	1	0	0
OTU2639	0	0	0	0	0	0	1	0	0
OTU2640	0	0	0	0	0	0	1	0	0
OTU2641	0	0	0	0	0	0	1	0	0
OTU2642	0	0	0	0	0	0	1	0	0
OTU2643	0	0	0	0	0	0	1	0	0
OTU2644	0	0	0	0	0	0	1	0	0
OTU2645	0	0	0	0	0	0	1	0	0
OTU2646	0	0	0	0	0	0	1	0	0
OTU2647	0	0	0	0	0	0	1	0	0
OTU2648	0	0	0	0	0	0	1	0	0
OTU2649	0	0	0	0	0	0	1	0	0
OTU2650	0	0	0	0	0	0	1	0	0
OTU2651	0	0	0	0	0	0	1	0	0
OTU2652	0	0	0	0	0	0	1	0	0
OTU2653	0	0	0	0	0	0	1	0	0
OTU2654	0	0	0	0	0	0	1	0	0
OTU2655	0	0	0	0	0	0	1	0	0
OTU2656	0	0	0	0	0	0	1	0	0
OTU2657	0	0	0	0	0	0	1	0	0
OTU2658	0	0	0	0	0	0	1	0	0
OTU2659	0	0	0	0	0	0	1	0	0
OTU2660	0	0	0	0	0	0	1	0	0
OTU2661	0	0	0	0	0	0	1	0	0
OTU2662	0	0	0	0	0	0	1	0	0
OTU2663	0	0	0	0	0	0	1	0	0
OTU2664	0	0	0	0	0	0	1	0	0
OTU2665	0	0	0	0	0	0	1	0	0
OTU2666	0	0	0	0	0	0	1	0	0
OTU2667	0	0	0	0	0	0	1	0	0
OTU2668	0	0	0	0	0	0	1	0	0
OTU2669	0	0	0	0	0	0	1	0	0
OTU2670	0	0	0	0	0	0	1	0	0
OTU2671	0	0	0	0	0	0	1	0	0
OTU2672	0	0	0	0	0	0	1	0	0
OTU2673	0	0	0	0	0	0	1	0	0
OTU2674	0	0	0	0	0	0	1	0	0
OTU2675	0	0	0	0	0	0	1	0	0
OTU2676	0	0	0	0	0	0	1	0	0
OTU2677	0	0	0	0	0	0	1	0	0
OTU2678	0	0	0	0	0	0	1	0	0
OTU2679	0	0	0	0	0	0	1	0	0
OTU2680	0	0	0	0	0	0	1	0	0
OTU2681	0	0	0	0	0	0	1	0	0
OTU2682	0	0	0	0	0	0	1	0	0
OTU2683	0	0	0	0	0	0	1	0	0
OTU2684	0	0	0	0	0	0	1	0	0
OTU2685	0	0	0	0	0	0	1	0	0
OTU2686	0	0	0	0	0	0	1	0	0
OTU2687	0	0	0	0	0	0	1	0	0
OTU2688	0	0	0	0	0	0	1	0	0
OTU2689	0	0	0	0	0	0	1	0	0
OTU2690	0	0	0	0	0	0	1	0	0
OTU2691	0	0	0	0	0	0	1	0	0
OTU2692	0	0	0	0	0	0	1	0	0
OTU2693	0	0	0	0	0	0	1	0	0
OTU2694	0	0	0	0	0	0	1	0	0
OTU2695	0	0	0	0	0	0	1	0	0
OTU2696	0	0	0	0	0	0	1	0	0
OTU2697	0	0	0	0	0	0	1	0	0
OTU2698	0	0	0	0	0	0	1	0	0
OTU2699	0	0	0	0	0	0	1	0	0
OTU2700	0	0	0	0	0	0	1	0	0
OTU2701	0	0	0	0	0	0	1	0	0
OTU2702	0	0	0	0	0	0	1	0	0
OTU2703	0	0	0	0	0	0	1	0	0
OTU2704	0	0	0	0	0	0	1	0	0
OTU2705	0	0	0	0	0	0	1	0	0
OTU2706	0	0	0	0	0	0	1	0	0
OTU2707	0	0	0	0	0	0	1	0	0
OTU2708	0	0	0	0	0	0	1	0	0
OTU2709	0	0	0	0	0	0	1	0	0
OTU2710	0	0	0	0	0	0	1	0	0
OTU2711	0	0	0	0	0	0	1	0	0
OTU2712	0	0	0	0	0	0	1	0	0
OTU2713	0	0	0	0	0	0	1	0	0
OTU2714	0	0	0	0	0	0	1	0	0
OTU2739	0	0	0	0	0	0	1	0	0
OTU2740	0	0	0	0	0	0	1	0	0
OTU2741	0	0	0	0	0	0	1	0	0
OTU2742	0	0	0	0	0	0	1	0	0
OTU2743	0	0	0	0	0	0	1	0	0
OTU2744	0	0	0	0	0	0	1	0	0
OTU2745	0	0	0	0	0	0	1	0	0
OTU2746	0	0	0	0	0	0	1	0	0
OTU2747	0	0	0	0	0	0	1	0	0
