OTUID	A1	A2	A3	B1	B2	B3	C1	C2	C3
OTU1903	8	0	2	2	0	3	0	0	0
OTU0150	4	0	0	4	0	0	0	0	0
OTU0181	2	0	2	5	1	4	0	0	0
OTU0243	0	1	2	0	2	0	0	0	0
OTU0290	2	2	3	0	3	1	0	0	0
OTU0295	0	0	0	0	8	1	0	0	0
OTU0325	1	0	1	2	3	2	0	0	0
OTU0351	0	5	2	0	0	0	0	0	0
OTU0373	0	0	6	0	4	1	0	0	0
OTU0597	0	9	1	0	6	0	0	0	0
OTU1623	0	0	0	0	0	3	0	0	0
OTU0151	2	0	0	5	1	2	0	0	0
OTU0160	2	0	2	0	0	10	0	0	0
OTU0179	4	0	1	1	2	0	0	0	0
OTU0679	0	4	2	0	4	0	0	0	0
OTU1230	0	0	0	15	0	0	0	0	0
OTU0120	1	0	2	10	0	0	0	0	0
OTU0166	1	3	5	1	1	2	0	0	0
OTU0170	0	3	1	0	7	2	0	0	0
OTU0175	4	0	0	2	1	0	0	0	0
OTU0201	1	1	4	0	0	2	0	0	0
OTU0281	0	14	0	0	0	0	0	0	0
OTU0603	0	14	0	0	0	0	0	0	0
OTU1113	0	0	0	14	0	0	0	0	0
OTU1119	2	0	0	0	1	10	0	0	0
OTU1142	0	0	0	10	0	0	0	0	0
OTU0084	2	0	3	4	0	1	0	0	0
OTU0121	6	0	1	1	0	0	0	0	0
OTU0128	1	0	3	1	0	0	0	0	0
OTU0171	1	2	3	5	2	0	0	0	0
OTU0203	3	4	0	0	0	0	0	0	0
OTU1124	0	0	0	13	0	0	0	0	0
OTU1212	0	0	0	4	0	0	0	0	0
OTU0101	1	0	4	3	0	2	0	0	0
OTU0136	0	0	2	0	3	4	0	0	0
OTU0194	0	5	4	1	0	0	0	0	0
OTU0195	0	6	0	3	0	0	0	0	0
OTU0212	0	0	1	0	3	1	0	0	0
OTU0215	0	1	1	0	0	5	0	0	0
OTU0223	0	0	0	0	1	3	0	0	0
OTU0227	0	0	2	0	1	2	0	0	0
OTU0285	0	2	0	0	0	0	0	0	0
OTU0304	0	6	2	2	0	0	0	0	0
OTU0308	1	5	1	1	0	0	0	0	0
OTU0595	0	7	0	2	1	0	0	0	0
OTU0629	0	8	0	1	0	0	0	0	0
OTU0666	0	8	0	0	3	0	0	0	0
OTU1625	0	2	3	0	0	0	0	0	0
OTU1632	0	8	0	0	0	0	0	0	0
OTU0100	0	0	1	0	2	6	0	0	0
OTU0138	0	0	2	3	4	1	0	0	0
OTU0237	0	1	5	0	0	2	0	0	0
OTU0337	2	0	3	2	0	3	0	0	0
OTU0642	0	6	0	0	4	0	0	0	0
OTU0712	0	2	0	0	3	0	0	0	0
OTU0801	0	0	5	0	0	0	0	0	0
OTU1120	2	1	4	3	0	0	0	0	0
OTU1438	0	8	0	0	0	0	0	0	0
OTU1455	0	1	2	2	2	2	0	0	0
OTU1990	0	0	1	0	0	10	0	0	0
OTU1991	1	0	2	1	0	7	0	0	0
OTU2472	0	0	11	0	0	0	0	0	0
OTU0172	0	0	0	5	1	0	0	0	0
OTU0239	0	1	0	1	1	6	0	0	0
OTU0294	1	0	4	1	0	3	0	0	0
OTU0334	0	1	1	0	0	3	0	0	0
OTU0335	0	0	0	1	0	4	0	0	0
OTU0634	0	6	0	0	0	0	0	0	0
OTU0643	0	8	1	0	0	0	0	0	0
OTU0661	1	0	1	2	5	0	0	0	0
OTU0706	0	1	0	9	0	0	0	0	0
OTU0727	0	8	0	0	2	0	0	0	0
OTU0803	0	4	2	0	1	0	0	0	0
OTU2284	0	0	0	10	0	0	0	0	0
OTU0137	1	0	2	0	0	1	0	0	0
OTU0296	1	1	0	0	2	1	0	0	0
OTU0329	0	0	0	0	1	3	0	0	0
OTU0332	4	0	1	0	1	0	0	0	0
OTU0602	0	6	1	0	1	0	0	0	0
OTU0659	1	2	1	3	1	0	0	0	0
OTU0780	0	0	3	1	0	4	0	0	0
OTU0855	0	0	9	0	0	0	0	0	0
OTU1144	5	0	1	0	0	3	0	0	0
OTU1189	0	4	0	0	3	0	0	0	0
OTU1192	0	0	4	1	0	0	0	0	0
OTU1436	0	0	3	0	0	1	0	0	0
OTU1646	0	4	0	0	2	1	0	0	0
OTU2290	0	0	7	2	0	0	0	0	0
OTU2473	0	0	9	0	0	0	0	0	0
OTU2474	0	1	8	0	0	0	0	0	0
OTU0095	1	1	4	1	0	0	0	0	0
OTU0233	0	0	2	0	0	1	0	0	0
OTU0269	1	4	0	0	3	0	0	0	0
OTU0283	0	2	2	0	2	0	0	0	0
OTU0291	0	3	1	0	0	0	0	0	0
OTU0292	1	3	0	1	3	0	0	0	0
