OTU	log2FC	p_value	group
OTU182	0.153629883	0.769737487	group1-group2
OTU183	1.010386588	0.139379847	group1-group2
OTU184	0.365438939	0.486011035	group1-group2
OTU185	0.448691402	0.454110251	group1-group2
OTU186	-0.448684539	0.577982458	group1-group2
OTU187	-0.06279202	0.947608807	group1-group2
OTU188	0.105769985	0.923374202	group1-group2
OTU189	1.68120433	0.037375737	group1-group2
OTU190	0.65222447	0.518484822	group1-group2
OTU191	1.480851793	0.088789657	group1-group2
OTU192	3.49615025	0.000877931	group1-group2
OTU193	2.13953391	0.025363527	group1-group2
OTU194	1.37935791	0.079812392	group1-group2
OTU195	-1.424592683	0.009322908	group1-group2
OTU196	2.274791301	3.16E-09	group1-group2
OTU197	2.40000277	6.79E-12	group1-group2
OTU198	3.092776469	3.61E-08	group1-group2
OTU199	2.995670096	7.66E-10	group1-group2
OTU001	-3.777258371	0.000901841	group1-group3
OTU002	0.202890031	0.71782784	group1-group3
OTU003	-0.948455783	0.134249008	group1-group3
OTU004	0.560188609	0.440991433	group1-group3
OTU005	-0.495612603	0.498245002	group1-group3
OTU006	-0.078400568	0.924854402	group1-group3
OTU007	-0.351448208	0.630464736	group1-group3
OTU008	-1.102861331	0.265083685	group1-group3
OTU009	-0.015258077	0.984136269	group1-group3
OTU010	0.348267253	0.462738833	group1-group3
OTU011	0.370234589	0.62473188	group1-group3
OTU012	-0.226618165	0.664856016	group1-group3
OTU013	-0.883801355	0.229697836	group1-group3
OTU014	0.033323616	0.961830168	group1-group3
OTU015	-1.413882136	0.041628028	group1-group3
OTU016	-0.476669236	0.560371988	group1-group3
OTU017	0.233317088	0.753764495	group1-group3
OTU018	-0.085980048	0.875088089	group1-group3
OTU019	-0.57086385	0.296536112	group1-group3
OTU020	-0.548069445	0.307594656	group1-group3
OTU021	-0.487521699	0.569754082	group1-group3
OTU022	0.15450921	0.870076498	group1-group3
OTU023	0.119781738	0.871513965	group1-group3
OTU024	0.128912456	0.757336772	group1-group3
OTU025	0.533583076	0.418069534	group1-group3
OTU026	-0.1474865	0.805341493	group1-group3
OTU027	-1.020811855	0.049348129	group1-group3
OTU028	0.669940954	0.370709184	group1-group3
OTU029	0.587324993	0.453400374	group1-group3
OTU030	0.618285714	0.524805353	group1-group3
OTU031	-0.024978821	0.980355862	group1-group3
OTU032	0.057385489	0.882129615	group1-group3
OTU033	-0.915920202	0.191479058	group1-group3
OTU034	0.716430075	0.087029215	group1-group3
OTU035	0.311159643	0.531724086	group1-group3
OTU036	-0.12349511	0.864169048	group1-group3
OTU037	0.766069505	0.176957739	group1-group3
OTU038	0.515505685	0.410300821	group1-group3
OTU039	1.224265892	0.069000635	group1-group3
OTU040	0.801991047	5.02E-05	group1-group3
OTU041	0.173844315	0.693881876	group1-group3
OTU042	0.05521422	0.874624776	group1-group3
OTU043	0.319460469	0.437621898	group1-group3
OTU044	1.071030424	0.05735095	group1-group3
OTU045	1.439210672	0.000118401	group1-group3
OTU046	0.719545089	0.078927855	group1-group3
OTU047	0.75185652	0.14321831	group1-group3
OTU048	-0.06732308	0.93561743	group1-group3
OTU049	-0.265969463	0.597957347	group1-group3
OTU050	-2.252729412	0.00394586	group1-group3
